;temps (s);speed (m/s);power_shaft (W);fuel_cumul (m^3)
370;33915.0;7.0;498151.19200000004;-0.006376893418124959
371;33915.0;7.0;498151.19200000004;-0.006425638892260032
372;33915.0;7.0;498151.19200000004;-0.006474384366395106
373;33915.0;7.0;498151.19200000004;-0.006523129840530179
374;33915.0;7.0;498151.19200000004;-0.006571875314665253
375;33915.0;7.0;498151.19200000004;-0.006620620788800326
376;33915.0;7.0;498151.19200000004;-0.0066693662629353995
377;33915.0;7.0;498151.19200000004;-0.006718111737070473
378;33915.0;7.0;498151.19200000004;-0.006766857211205546
379;33915.0;7.0;498151.19200000004;-0.00681560268534062
380;33915.0;7.0;498151.19200000004;-0.006864348159475693
381;33915.0;7.0;498151.19200000004;-0.006913093633610767
382;33915.0;7.0;498151.19200000004;-0.00696183910774584
383;33915.0;7.0;498151.19200000004;-0.0070105845818809135
384;33915.0;7.0;498151.19200000004;-0.007059330056015987
385;33915.0;7.0;498151.19200000004;-0.00710807553015106
386;33915.0;7.0;498151.19200000004;-0.007156821004286134
387;33915.0;7.0;498151.19200000004;-0.007205566478421207
388;33915.0;7.0;498151.19200000004;-0.007254311952556281
389;33915.0;7.0;498151.19200000004;-0.007303057426691354
390;33915.0;7.0;498151.19200000004;-0.0073518029008264275
391;33915.0;7.0;498151.19200000004;-0.007400548374961501
392;33915.0;7.0;498151.19200000004;-0.007449293849096574
393;33915.0;7.0;498151.19200000004;-0.007498039323231648
394;33915.0;7.0;498151.19200000004;-0.007546784797366721
395;33915.0;7.0;498151.19200000004;-0.007595530271501795
396;33915.0;7.0;498151.19200000004;-0.007644275745636868
397;33915.0;7.0;498151.19200000004;-0.0076930212197719415
398;33915.0;7.0;498151.19200000004;-0.007741766693907015
399;33915.0;7.0;498151.19200000004;-0.007790512168042088
400;33915.0;7.0;498151.19200000004;-0.007839257642177161
401;33915.0;7.0;498151.19200000004;-0.007888003116312233
402;33915.0;7.0;498151.19200000004;-0.007936748590447306
403;33915.0;7.0;498151.19200000004;-0.007985494064582379
404;33915.0;7.0;498151.19200000004;-0.008034239538717451
405;33915.0;7.0;498151.19200000004;-0.008082985012852524
406;33915.0;7.0;498151.19200000004;-0.008131730486987596
407;33915.0;7.0;498151.19200000004;-0.008180475961122669
408;33915.0;7.0;498151.19200000004;-0.008229221435257741
409;33915.0;7.0;498151.19200000004;-0.008277966909392814
410;33915.0;7.0;498151.19200000004;-0.008326712383527887
411;33915.0;7.0;498151.19200000004;-0.008375457857662959
412;33915.0;7.0;498151.19200000004;-0.008424203331798032
413;33915.0;7.0;498151.19200000004;-0.008472948805933104
414;33915.0;7.0;498151.19200000004;-0.008521694280068177
415;33915.0;7.0;498151.19200000004;-0.00857043975420325
416;33915.0;7.0;498151.19200000004;-0.008619185228338322
417;33915.0;7.0;498151.19200000004;-0.008667930702473394
418;33915.0;7.0;498151.19200000004;-0.008716676176608467
419;33915.0;7.0;498151.19200000004;-0.00876542165074354
420;33915.0;7.0;498151.19200000004;-0.008814167124878612
421;33915.0;7.0;498151.19200000004;-0.008862912599013685
422;33915.0;7.0;498151.19200000004;-0.008911658073148757
423;33915.0;7.0;498151.19200000004;-0.00896040354728383
424;33915.0;7.0;498151.19200000004;-0.009009149021418902
425;33915.0;7.0;498151.19200000004;-0.009057894495553975
426;33915.0;7.0;498151.19200000004;-0.009106639969689048
427;33915.0;7.0;498151.19200000004;-0.00915538544382412
428;33915.0;7.0;498151.19200000004;-0.009204130917959193
429;33915.0;7.0;498151.19200000004;-0.009252876392094265
430;33915.0;7.0;498151.19200000004;-0.009301621866229338
431;33915.0;7.0;498151.19200000004;-0.00935036734036441
432;33915.0;7.0;498151.19200000004;-0.009399112814499483
433;33915.0;7.0;498151.19200000004;-0.009447858288634555
434;33915.0;7.0;498151.19200000004;-0.009496603762769628
435;33915.0;7.0;498151.19200000004;-0.0095453492369047
436;33915.0;7.0;498151.19200000004;-0.009594094711039773
437;33915.0;7.0;498151.19200000004;-0.009642840185174846
438;33915.0;7.0;498151.19200000004;-0.009691585659309918
439;33915.0;7.0;498151.19200000004;-0.00974033113344499
440;33915.0;7.0;498151.19200000004;-0.009789076607580063
441;33915.0;7.0;498151.19200000004;-0.009837822081715136
442;33915.0;7.0;498151.19200000004;-0.009886567555850208
443;33915.0;7.0;498151.19200000004;-0.009935313029985281
444;33915.0;7.0;498151.19200000004;-0.009984058504120354
445;33915.0;7.0;498151.19200000004;-0.010032803978255426
446;33915.0;7.0;498151.19200000004;-0.010081549452390499
447;33915.0;7.0;498151.19200000004;-0.010130294926525571
448;33915.0;7.0;498151.19200000004;-0.010179040400660644
449;33915.0;7.0;498151.19200000004;-0.010227785874795716
450;33915.0;7.0;498151.19200000004;-0.010276531348930789
451;33915.0;7.0;498151.19200000004;-0.010325276823065862
452;33915.0;7.0;498151.19200000004;-0.010374022297200934
453;33915.0;7.0;498151.19200000004;-0.010422767771336007
454;33915.0;7.0;498151.19200000004;-0.01047151324547108
455;33915.0;7.0;498151.19200000004;-0.010520258719606152
456;33915.0;7.0;498151.19200000004;-0.010569004193741224
457;33915.0;7.0;498151.19200000004;-0.010617749667876297
458;33915.0;7.0;498151.19200000004;-0.01066649514201137
459;33915.0;7.0;498151.19200000004;-0.010715240616146442
460;33915.0;7.0;498151.19200000004;-0.010763986090281515
461;33915.0;7.0;498151.19200000004;-0.010812731564416587
462;33915.0;7.0;498151.19200000004;-0.01086147703855166
463;33915.0;7.0;498151.19200000004;-0.010910222512686732
464;33915.0;7.0;498151.19200000004;-0.010958967986821805
465;33915.0;7.0;498151.19200000004;-0.011007713460956877
466;33915.0;7.0;498151.19200000004;-0.01105645893509195
467;33915.0;7.0;498151.19200000004;-0.011105204409227023
